Country Name,Growth,GDP Per Capita
China,994.50664836341,10500.3956159637
Romania,676.9160352014190,12896.0886211622
Lithuania,507.23340476458900,19997.5925262112
Estonia,471.9441672851700,23312.2763272181
Russian Federation,471.6163780156720,10126.7217935297
Latvia,424.7803065675700,17619.9523907399
Czech Republic,277.54275904299400,22762.1971366777
Slovak Republic,253.89537358309200,19156.8896116995
Poland,247.8027876408040,15656.1827308666
Hungary,243.81876927132700,15899.1482797158
Ireland,219.3334751326050,83812.8029661508
Costa Rica,218.7290249974040,12076.8145138494
New Zealand,206.36667689044700,41791.79308952
Panama,202.16967292924700,12269.0489963771
Croatia,185.6173846536840,13828.469504884600
Malta,167.2906997226580,27884.642827425100
Chile,160.72823870566000,13231.7042069383
Malaysia,157.23692136413400,10401.7940137994
"Korea, Rep.",156.90739350353300,31489.1226973168
Singapore,150.69986718035900,59797.7521801188
Slovenia,146.82793803532200,25179.667172293600
Trinidad and Tobago,139.06322625361300,15384.0394609875
Australia,138.99424193135600,51812.154037398800
Luxembourg,137.75774242424000,115873.60263020300
Uruguay,124.55788322968,15438.4116657291
Switzerland,122.32871322389100,86601.5564126289
Saudi Arabia,119.27368173673600,20110.3161923744
Israel,106.67337144577500,43610.5203308148
Finland,101.93699638969300,49041.3422565659
Netherlands,100.02002044556200,52304.0573851896
Puerto Rico,99.42359142812990,32290.9211360931
Denmark,98.1190842569154,60908.8351349442
Austria,95.83319952528860,48105.3646248411
Portugal,95.1674903375382,22439.8768739626
Belgium,93.53909638386040,44594.3781075628
Germany,93.44974203287720,45723.644103932800
Cyprus,85.03723136569080,26623.8008913181
Iceland,84.634221760611,59260.887138168200
Spain,83.89888311730770,27057.163515123900
St. Kitts and Nevis,82.2707373083871,17435.9274299115
"Hong Kong SAR, China",79.8519553662702,46323.8634424384
Canada,78.16165038357880,43241.6178282827
Norway,76.48019745185130,67294.47697866930
Sweden,75.27718758037060,51925.71375963850
United States,74.88299799680270,63543.577788724000
France,72.7106806358079,38625.0673845578
Qatar,69.48618711798030,50805.463567753200
Italy,57.69038977395460,31676.202098734900
Brunei Darussalam,52.48486492456220,27466.3396414199
Seychelles,50.74966969758330,11425.0929292519
Greece,46.77622198544160,17676.1924769339
United Kingdom,43.07520903849870,40284.6384553276
Barbados,34.81183652229160,15191.1640353411
Antigua and Barbuda,32.90661486824530,14449.9965204973
"Bahamas, The",5.571394004751330,28607.901375213600